Unnamed: 0,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,player_id,pts_improvement,ast_improvement,trb_improvement,stl_improvement,blk_improvement,fg%_improvement,3p%_improvement,ft%_improvement,weighted_pts,weighted_ast,weighted_trb,pts_positional_rank,ast_positional_rank,trb_positional_rank,stl_positional_rank,blk_positional_rank,fg%_positional_rank,3p%_positional_rank,ft%_positional_rank,efficiency,efficiency_rank,consistency_score,consistency_rank
812,A.J. Green,SG,23,MIL,35,1,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.18,0.39,125.0,135.0,137.0,153.0,168.0,99.0,24.0,14.0,0.6565656565656566,451.0,0.0707106781186545,3.0
1491,A.J. Green,SG,24,MIL,56,0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,2023,1,0.0227272727272727,-0.1666666666666666,-0.1538461538461538,0.0,0.0,-0.0023584905660377,-0.026252983293556,-0.1049999999999999,2.7,0.3,0.66,100.0,140.0,127.0,134.0,130.0,93.0,24.0,23.0,0.5818181818181818,565.0,0.0707106781186545,1.0
813,A.J. Lawson,SG,22,DAL,14,0,7.6,1.5,3.1,0.488,0.7,1.8,0.4,0.8,1.3,0.611,0.605,0.1,0.6,0.25,0.4,1.0,1.4,0.1,0.1,0.0,0.2,0.7,3.9,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.03,0.42,128.0,160.0,131.0,159.0,168.0,28.0,39.0,153.0,0.7236842105263158,343.0,0.8524474568362947,102.0
814,A.J. Lawson,SG,22,MIN,1,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2022,2,-0.4871794871794871,-1.0,-0.2857142857142857,-1.0,0.0,1.0491803278688523,-1.0,-1.0,0.6,0.0,0.3,155.0,168.0,150.0,168.0,168.0,1.0,168.0,168.0,1.5,4.0,0.8524474568362947,102.0
815,A.J. Lawson,SG,22,TOT,15,0,7.2,1.5,2.9,0.5,0.7,1.7,0.4,0.8,1.3,0.632,0.614,0.1,0.5,0.25,0.4,1.0,1.4,0.1,0.1,0.0,0.2,0.7,3.7,2022,2,0.8500000000000001,0.0,0.3999999999999999,0.0,0.0,-0.5,0.0,0.0,1.11,0.03,0.42,131.0,160.0,131.0,159.0,168.0,20.0,39.0,153.0,0.736111111111111,320.0,0.8524474568362947,102.0
1492,A.J. Lawson,SG,23,DAL,42,0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1.0,1.7,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,2023,2,-0.1351351351351351,4.0,-0.1428571428571428,1.0,0.0,-0.1079999999999999,-0.35,1.608,1.92,0.3,0.72,116.0,140.0,125.0,134.0,130.0,59.0,119.0,118.0,0.7027027027027027,376.0,0.8524474568362947,87.0
816,AJ Griffin,SF,19,ATL,72,12,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.3,0.63,52.0,80.0,93.0,59.0,86.0,52.0,33.0,12.0,0.6564102564102564,452.0,4.59619407771256,630.0
1493,AJ Griffin,SF,20,ATL,20,0,8.6,0.9,3.1,0.29,0.5,2.0,0.256,0.4,1.2,0.348,0.371,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.1,0.1,0.4,0.3,2.4,2023,3,-0.7303370786516854,-0.7,-0.5714285714285714,-0.8333333333333333,-0.5,-0.3763440860215055,-0.3435897435897436,0.1185682326621924,1.44,0.18,0.54,125.0,142.0,139.0,144.0,130.0,144.0,128.0,12.0,0.4418604651162791,692.0,4.59619407771256,604.0
0,Aaron Gordon,PF,26,DEN,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2.0,15.0,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.25,0.5900000000000001,21.0,15.0,26.0,58.0,45.0,39.0,63.0,68.0,0.77602523659306,285.0,1.201388086062673,173.0
817,Aaron Gordon,PF,27,DEN,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,2022,4,0.0866666666666666,0.1999999999999999,0.11864406779661,0.3333333333333335,0.3333333333333335,0.0846153846153845,0.0358208955223879,-0.1816958277254374,4.89,0.8999999999999999,1.98,13.0,14.0,20.0,33.0,19.0,12.0,57.0,98.0,0.9105960264900662,123.0,1.201388086062673,177.0
